date,Deluxe Double %occupancy,Deluxe Twin %occupancy,Deluxe Single %occupancy,Deluxe Family %occupancy,Executie Double %occupancy,Executive Twin %occupancy,Executive Single %occupancy,Classic Double %occupancy,Classic Twin %occupancy,Classic Single %occupancy
5-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7-11-2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-11-2016,5.71,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-11-2016,5.71,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-11-2016,2.86,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-11-2016,2.86,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-11-2016,2.86,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-11-2016,2.86,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-11-2016,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-11-2016,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Averages:,2.29,2.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
